Loan Date,Loans (In House + Not In House)
2016-06-01,41
2016-06-03,9
2016-06-06,16
2016-06-07,6
2016-06-08,3
2016-06-09,11
2016-06-10,2
2016-06-13,20
2016-06-14,2
2016-06-15,5
2016-06-16,17
2016-06-17,5
2016-06-20,9
2016-06-21,9
2016-06-22,16
2016-06-23,9
2016-06-24,5
2016-06-27,8
2016-06-28,10
2016-06-29,12
2016-06-30,14
2016-07-01,26
2016-07-02,5
2016-07-05,7
2016-07-06,19
2016-07-07,6
2016-07-08,25
2016-07-09,7
2016-07-11,12
2016-07-12,10
2016-07-13,26
2016-07-14,29
2016-07-15,7
2016-07-16,7
2016-07-18,9
2016-07-19,15
2016-07-20,5
2016-07-21,11
2016-07-22,75
2016-07-24,2
2016-07-25,9
2016-07-26,31
2016-07-27,4
2016-07-28,13
2016-07-29,8
2016-07-30,9
2016-07-31,1
2016-08-01,19
2016-08-02,6
2016-08-03,2
2016-08-04,8
2016-08-05,11
2016-08-06,1
2016-08-07,2
2016-08-08,27
2016-08-09,48
2016-08-10,30
2016-08-11,8
2016-08-12,19
2016-08-14,1
2016-08-15,3
2016-08-16,7
2016-08-17,21
2016-08-18,9
2016-08-19,7
2016-08-22,11
2016-08-23,21
2016-08-24,9
2016-08-25,28
2016-08-26,19
2016-08-29,15
2016-08-30,18
2016-08-31,11
2016-09-01,6
2016-09-02,4
2016-09-03,1
2016-09-06,33
2016-09-07,5
2016-09-08,23
2016-09-09,17
2016-09-12,36
2016-09-13,36
2016-09-14,15
2016-09-15,19
2016-09-16,25
2016-09-17,1
2016-09-18,1
2016-09-19,38
2016-09-20,45
2016-09-21,28
2016-09-22,16
2016-09-23,21
2016-09-24,8
2016-09-26,38
2016-09-27,22
2016-09-28,32
2016-09-29,11
2016-09-30,29
2016-10-01,1
2016-10-03,50
2016-10-04,17
2016-10-05,80
2016-10-06,134
2016-10-07,24
2016-10-08,11
2016-10-10,23
2016-10-11,24
2016-10-12,32
2016-10-13,52
2016-10-14,49
2016-10-15,12
2016-10-17,27
2016-10-18,23
2016-10-19,18
2016-10-20,34
2016-10-21,4
2016-10-22,5
2016-10-23,2
2016-10-24,53
2016-10-25,25
2016-10-26,51
2016-10-27,44
2016-10-28,14
2016-10-29,12
2016-10-31,16
2016-11-01,71
2016-11-02,22
2016-11-03,15
2016-11-04,18
2016-11-05,4
2016-11-06,1
2016-11-07,12
2016-11-08,40
2016-11-09,27
2016-11-10,9
2016-11-11,11
2016-11-12,26
2016-11-13,2
2016-11-14,14
2016-11-15,18
2016-11-16,28
2016-11-17,26
2016-11-18,27
2016-11-20,1
2016-11-21,33
2016-11-22,17
2016-11-23,27
2016-11-28,37
2016-11-29,23
2016-11-30,10
2016-12-01,17
2016-12-02,23
2016-12-05,33
2016-12-06,14
2016-12-07,8
2016-12-08,11
2016-12-09,15
2016-12-11,1
2016-12-12,34
2016-12-13,12
2016-12-14,13
2016-12-15,5
2016-12-16,23
2016-12-19,34
2016-12-20,14
2016-12-21,6
2017-01-02,2
2017-01-03,26
2017-01-04,25
2017-01-05,2
2017-01-06,38
2017-01-08,1
2017-01-09,29
2017-01-10,36
2017-01-11,54
2017-01-12,19
2017-01-13,23
2017-01-14,6
2017-01-17,31
2017-01-18,41
2017-01-19,18
2017-01-20,17
2017-01-21,1
2017-01-22,1
2017-01-23,17
2017-01-24,33
2017-01-25,38
2017-01-26,48
2017-01-27,17
2017-01-28,23
2017-01-30,27
2017-01-31,57
2017-02-01,11
2017-02-02,17
2017-02-03,12
2017-02-04,4
2017-02-05,1
2017-02-06,53
2017-02-07,31
2017-02-08,17
2017-02-09,26
2017-02-10,12
2017-02-11,16
2017-02-13,15
2017-02-14,44
2017-02-15,14
2017-02-16,26
2017-02-17,48
2017-02-18,5
2017-02-19,1
2017-02-20,43
2017-02-21,32
2017-02-22,15
2017-02-23,10
2017-02-24,16
2017-02-25,5
2017-02-27,27
2017-02-28,27
2017-03-01,12
2017-03-02,22
2017-03-03,11
2017-03-04,30
2017-03-06,30
2017-03-07,26
2017-03-08,30
2017-03-09,32
2017-03-10,10
2017-03-11,25
2017-03-13,20
2017-03-14,21
2017-03-15,16
2017-03-16,44
2017-03-17,16
2017-03-18,1
2017-03-20,35
2017-03-21,18
2017-03-22,13
2017-03-23,16
2017-03-24,8
2017-03-26,1
2017-03-27,37
2017-03-28,35
2017-03-29,37
2017-03-30,15
2017-03-31,15
2017-04-01,4
2017-04-03,14
2017-04-04,44
2017-04-05,20
2017-04-06,20
2017-04-07,75
2017-04-08,7
2017-04-09,1
2017-04-10,8
2017-04-11,18
2017-04-12,19
2017-04-13,22
2017-04-15,1
2017-04-17,29
2017-04-18,14
2017-04-19,29
2017-04-20,15
2017-04-21,25
2017-04-22,10
2017-04-24,85
2017-04-25,29
2017-04-26,32
2017-04-27,47
2017-04-28,22
2017-04-29,9
2017-04-30,3
2017-05-01,11
2017-05-02,30
2017-05-03,7
2017-05-04,15
2017-05-05,11
2017-05-06,9
2017-05-07,6
2017-05-08,5
2017-05-09,15
2017-05-10,15
2017-05-11,22
2017-05-12,13
2017-05-13,9
2017-05-15,81
2017-05-16,25
2017-05-17,51
2017-05-18,22
2017-05-19,10
2017-05-20,7
2017-05-21,2
2017-05-22,14
2017-05-23,36
2017-05-24,19
2017-05-25,33
2017-05-26,6
2017-05-27,1
2017-05-28,1
2017-05-29,1
2017-05-30,59
2017-05-31,13
2017-06-01,23
2017-06-02,14
2017-06-04,2
2017-06-05,26
2017-06-06,6
2017-06-07,4
2017-06-09,18
2017-06-10,1
2017-06-12,8
2017-06-13,3
2017-06-14,6
2017-06-15,10
2017-06-16,14
2017-06-17,2
2017-06-19,22
2017-06-20,16
2017-06-21,19
2017-06-22,11
2017-06-23,34
2017-06-24,1
2017-06-26,14
2017-06-27,30
2017-06-28,21
2017-06-29,34
2017-06-30,10
2017-07-01,6
2017-07-02,5
2017-07-03,2
2017-07-05,22
2017-07-06,13
2017-07-07,14
2017-07-08,2
2017-07-10,5
2017-07-11,2
2017-07-12,12
2017-07-13,75
2017-07-14,21
2017-07-17,6
2017-07-18,16
2017-07-19,5
2017-07-20,29
2017-07-21,19
2017-07-22,2
2017-07-24,4
2017-07-25,11
2017-07-26,12
2017-07-27,27
2017-07-28,44
2017-07-31,18
2017-08-01,9
2017-08-02,42
2017-08-03,14
2017-08-04,34
2017-08-05,169
2017-08-07,5
2017-08-08,81
2017-08-09,32
2017-08-10,13
2017-08-11,21
2017-08-14,18
2017-08-15,15
2017-08-16,5
2017-08-17,1
2017-08-18,29
2017-08-21,8
2017-08-22,18
2017-08-23,12
2017-08-24,8
2017-08-25,11
2017-08-26,13
2017-08-28,8
2017-08-29,13
2017-08-30,4
2017-08-31,13
2017-09-01,15
2017-09-02,1
2017-09-03,1
2017-09-04,1
2017-09-05,14
2017-09-06,23
2017-09-07,16
2017-09-08,23
2017-09-09,1
2017-09-11,22
2017-09-12,28
2017-09-13,41
2017-09-14,33
2017-09-15,21
2017-09-16,11
2017-09-18,20
2017-09-19,16
2017-09-20,8
2017-09-21,11
2017-09-22,3
2017-09-24,3
2017-09-25,20
2017-09-26,26
2017-09-27,27
2017-09-28,10
2017-09-29,11
2017-09-30,5
2017-10-02,13
2017-10-03,22
2017-10-04,25
2017-10-05,15
2017-10-06,18
2017-10-07,15
2017-10-09,18
2017-10-10,58
2017-10-11,10
2017-10-12,24
2017-10-13,35
2017-10-14,14
2017-10-16,14
2017-10-17,34
2017-10-18,33
2017-10-19,19
2017-10-20,21
2017-10-21,4
2017-10-23,22
2017-10-24,10
2017-10-25,19
2017-10-26,21
2017-10-27,16
2017-10-28,21
2017-10-30,24
2017-10-31,22
2017-11-01,13
2017-11-02,9
2017-11-03,11
2017-11-04,15
2017-11-06,27
2017-11-07,26
2017-11-08,9
2017-11-09,16
2017-11-10,17
2017-11-11,13
2017-11-12,1
2017-11-13,23
2017-11-14,11
2017-11-15,5
2017-11-16,7
2017-11-17,9
2017-11-18,1
2017-11-19,3
2017-11-20,18
2017-11-21,18
2017-11-22,6
2017-11-27,19
2017-11-28,19
2017-11-29,2
2017-11-30,11
2017-12-01,40
2017-12-02,5
2017-12-04,11
2017-12-05,5
2017-12-06,12
2017-12-07,10
2017-12-08,18
2017-12-09,1
2017-12-11,22
2017-12-12,10
2017-12-13,10
2017-12-14,15
2017-12-15,30
2017-12-16,6
2017-12-18,37
2017-12-19,23
2017-12-20,4
2017-12-22,2
2017-12-23,2
2017-12-29,6
2018-01-02,12
2018-01-03,13
2018-01-04,10
2018-01-05,27
2018-01-06,3
2018-01-07,1
2018-01-08,23
2018-01-09,27
2018-01-10,9
2018-01-11,24
2018-01-12,30
2018-01-13,9
2018-01-16,17
2018-01-17,10
2018-01-18,7
2018-01-19,8
2018-01-20,8
2018-01-22,12
2018-01-23,10
2018-01-24,13
2018-01-25,13
2018-01-26,6
2018-01-27,14
2018-01-29,39
2018-01-30,9
2018-01-31,9
2018-02-01,16
2018-02-02,36
2018-02-03,7
2018-02-05,14
2018-02-06,27
2018-02-07,15
2018-02-08,24
2018-02-09,10
2018-02-10,4
2018-02-11,1
2018-02-12,10
2018-02-13,12
2018-02-14,16
2018-02-15,31
2018-02-16,3
2018-02-17,7
2018-02-18,1
2018-02-19,15
2018-02-20,11
2018-02-21,16
2018-02-22,13
2018-02-23,6
2018-02-24,8
2018-02-26,18
2018-02-27,18
2018-02-28,12
2018-03-01,14
2018-03-02,35
2018-03-03,15
2018-03-05,8
2018-03-06,22
2018-03-07,18
2018-03-08,25
2018-03-09,8
2018-03-10,5
2018-03-12,24
2018-03-13,16
2018-03-14,40
