Barcode,num_loans
,0
-1061,0
-1062,0
-1063,0
-1064,0
-1065,0
-1066,0
-1067,0
-1068,0
-1069,0
-1070,0
-1071,0
-1072,0
-1073,0
-1074,0
-1075,0
-1076,0
33528000000019,10
33528000000027,1
33528000000035,2
33528000000043,0
33528000000050,0
33528000000068,2
33528000000076,0
33528000000084,0
33528000000092,0
33528000000118,3
33528000000126,0
33528000000134,0
33528000000142,0
33528000000159,4
33528000000167,0
33528000000175,0
33528000000183,0
33528000000191,1
33528000000209,1
33528000000217,2
33528000000225,10
33528000000233,0
33528000000241,0
33528000000258,0
33528000000266,0
33528000000274,0
33528000000282,26
33528000000290,0
33528000000308,0
33528000000316,0
33528000000324,0
33528000000332,0
33528000000357,0
33528000000365,0
33528000000373,0
33528000000399,3
33528000000407,1
33528000000415,1
33528000000423,4
33528000000431,7
33528000000449,45
33528000000456,0
33528000000464,0
33528000000472,0
33528000000480,0
33528000000498,3
33528000000506,0
33528000000514,1
33528000000522,1
33528000000530,0
33528000000548,9
33528000000555,0
33528000000563,1
33528000000597,1
33528000000605,0
33528000000621,0
33528000000654,0
33528000000662,0
33528000000670,0
33528000000688,0
33528000000696,2
33528000000704,0
33528000000712,0
33528000000720,4
33528000000738,0
33528000000746,22
33528000000753,4
33528000000886,0
33528000000894,0
33528000000902,0
33528000000910,21
33528000000928,0
33528000000936,0
33528000000944,2
33528000000951,3
33528000000969,0
33528000000977,2
33528000000993,2
33528000001009,0
33528000001017,4
33528000001025,2
33528000001033,12
33528000001041,0
33528000001058,0
33528000001066,1
33528000001074,3
33528000001082,1
33528000001090,0
33528000001108,0
33528000001116,0
33528000001124,0
33528000001132,0
33528000001140,0
33528000001157,0
33528000001165,0
33528000001173,0
33528000001181,1
33528000001199,0
33528000001207,0
33528000001215,0
33528000001223,1
33528000001231,0
33528000001249,9
33528000001256,7
33528000001264,8
33528000001280,5
33528000001298,2
33528000001306,2
33528000001330,4
33528000001348,1
33528000001488,7
33528000001496,0
335280000015,0
33528000001504,7
33528000001520,11
33528000001546,2
33528000001553,14
33528000001561,8
33528000001579,10
33528000001587,0
33528000001603,0
33528000001611,5
33528000001629,0
33528000001637,0
33528000001645,0
33528000001652,0
33528000001660,0
33528000001678,0
33528000001686,0
33528000001694,0
33528000001699,0
33528000001702,12
33528000001710,0
33528000001728,27
33528000001736,1
33528000001744,0
33528000001751,0
33528000001884,1
33528000001892,1
33528000001900,0
33528000001918,0
33528000001967,4
33528000001983,5
33528000001991,1
33528000002171,0
33528000002189,4
33528000002197,13
33528000002205,12
33528000002213,1
33528000002221,31
33528000002239,1
33528000002247,0
33528000002254,0
33528000002262,0
33528000002270,2
33528000002288,3
33528000002296,19
33528000002361,0
33528000002379,0
33528000002387,0
33528000002395,3
33528000002403,0
33528000002411,5
33528000002437,13
33528000002809,0
33528000002817,1
33528000002825,0
33528000002833,0
33528000002841,0
33528000002858,0
33528000002866,0
33528000002890,17
33528000002908,32
33528000002916,0
33528000002924,2
33528000002940,0
33528000002957,0
