titles,dates,creators,contributors,descriptions,coverage,subjects,types,formats,identifiers,languages,publishers,relations,rights,sources,,,,,,,,,,,
Rethinking Prayer,10/25/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 25, 1936",,,Text,,ist0048,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
How Shall We Go About Praying,11/1/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on November 1, 1936",,,Text,,ist0049,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Something to Live For,11/15/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on November 15, 1936",,,Text,,ist0050,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
I Believe in the Holy Spirit,3/20/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 20, 1935",,,Text,,ist0051,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Where Dwellest Thou?,6/2/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Lakewood Church on June 2, 1935",,,Text,,ist0052,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
I Believe in the Bible,4/3/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 3, 1935",,,Text,,ist0053,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
I Believe in God,4/7/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Trinity Church College League on April 7, 1935",,,Text,,ist0054,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Jesus Was a Teacher,3/31/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 31, 1935",,,Text,,ist0055,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Triumphant Jesus,4/14/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 14, 1935",,,Text,,ist0056,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
A Virile Jesus,4/15/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 15, 1935",,,Text,,ist0057,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Submission,4/18/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 18, 1935",,Mattew 26:39,Text,,ist0058,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Song of Triumph,4/21/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 21, 1935",,,Text,,ist0059,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Windows of the Soul,6/23/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 21, 1935; Morgan, Minnesota on September 1, 1935; Sioux Rapids, Iowa on September 15, 1935",,,Text,,ist0060,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
