term,begin_date,end_date,loans,renewals,enrolled_credit_hours,fte
summer_16,6/13/2016,8/19/2016,748,389,314,31.4
fall_16,9/12/2016,11/18/2016,1629,693,2100,210
winter_17,1/9/2017,3/17/2017,1409,716,2165,216.5
spring_17,3/27/2017,6/2/2017,1327,432,1884,188.4
summer_17,6/12/2017,8/18/2017,1115,696,252,25.2
fall_17,9/11/2017,11/17/2017,1075,451,2052,205.2
winter_18,1/8/2018,3/16/2018,946,474,2108,210.8
spring_18,3/26/2018,6/1/2018,854,283,1783,178.3
summer_18,6/11/2018,8/17/2018,554,87,332,33.2
fall_18,9/10/2018,11/16/2018,939,280,1758,175.8
winter_19,1/7/2019,3/15/2019,714,49,1709,170.9
